group_id,class,kept_file,removed_file,hash_distance,reason,action
1,BIN_WASHING,BIN WASHING\WhatsApp_Image_2026-07-03_at_5_15_46_AM__jpeg.jpg,BIN WASHING\WhatsApp_Image_2026-07-03_at_5_16_14_AM__jpeg.jpg,0,identical_perceptual_hash,moved_to_quarantine
1,BIN_WASHING,BIN WASHING\WhatsApp_Image_2026-07-03_at_5_15_46_AM__jpeg.jpg,BIN WASHING\WhatsApp_Image_2026-07-03_at_5_17_44_AM__jpeg.jpg,0,identical_perceptual_hash,moved_to_quarantine
2,GATE_MEETING,GATE MEETING\WhatsApp_Image_2026-07-03_at_2_20_18_PM__jpeg.jpg,GATE MEETING\WhatsApp_Image_2026-07-03_at_2_50_58_PM__jpeg.jpg,0,identical_perceptual_hash,moved_to_quarantine
3,GATE_MEETING,GATE MEETING\WhatsApp_Image_2026-07-09_at_11_12_12_PM__jpeg.jpg,GATE MEETING\WhatsApp_Image_2026-07-09_at_11_13_52_PM__jpeg.jpg,0,identical_perceptual_hash,moved_to_quarantine
4,GATE_MEETING,GATE MEETING\WhatsApp_Image_2026-07-02_at_10_26_28_PM__jpeg.jpg,GATE MEETING\WhatsApp_Image_2026-07-02_at_10_41_52_PM__jpeg.jpg,0,identical_perceptual_hash,moved_to_quarantine
5,GATE_MEETING,GATE MEETING\WhatsApp_Image_2026-07-09_at_11_12_11_PM__jpeg.jpg,GATE MEETING\WhatsApp_Image_2026-07-09_at_11_13_51_PM__jpeg.jpg,0,identical_perceptual_hash,moved_to_quarantine
6,GATE_MEETING,GATE MEETING\WhatsApp_Image_2026-07-02_at_7_13_08_AM_1__jpeg.jpg,GATE MEETING\WhatsApp_Image_2026-07-02_at_7_13_08_AM_2__jpeg.jpg,0,identical_perceptual_hash,moved_to_quarantine
7,GATE_MEETING,GATE MEETING\WhatsApp_Image_2026-07-01_at_6_29_26_AM__jpeg.jpg,GATE MEETING\WhatsApp_Image_2026-07-01_at_6_30_49_AM__jpeg.jpg,0,identical_perceptual_hash,moved_to_quarantine
7,GATE_MEETING,GATE MEETING\WhatsApp_Image_2026-07-01_at_6_29_26_AM__jpeg.jpg,GATE MEETING\WhatsApp_Image_2026-07-01_at_7_58_41_AM__jpeg.jpg,0,identical_perceptual_hash,moved_to_quarantine
8,LFC,LFC\image110__jpeg.jpg,LFC\verified_image110__jpeg.jpg,0,identical_perceptual_hash,moved_to_quarantine
9,LFC,LFC\WhatsApp_Image_2026-01-26_at_4_10_01_PM_2__jpeg.jpg,LFC\verified_WhatsApp_Image_2026-01-26_at_4_10_01_PM_2__jpeg.jpg,0,identical_perceptual_hash,moved_to_quarantine
10,LFC,LFC\WhatsApp_Image_2026-04-08_at_9_11_25_PM_1__jpeg.jpg,LFC\verified_WhatsApp_Image_2026-04-08_at_9_11_25_PM_1__jpeg.jpg,0,identical_perceptual_hash,moved_to_quarantine
11,LFC,LFC\WhatsApp_Image_2026-04-04_at_7_06_32_PM__jpeg.jpg,LFC\verified_WhatsApp_Image_2026-04-04_at_7_06_32_PM__jpeg.jpg,0,identical_perceptual_hash,moved_to_quarantine
12,LFC,LFC\WhatsApp_Image_2026-04-22_at_6_50_34_PM__jpeg.jpg,LFC\verified_WhatsApp_Image_2026-04-22_at_6_50_34_PM__jpeg.jpg,0,identical_perceptual_hash,moved_to_quarantine
13,LFC,LFC\WhatsApp_Image_2026-04-17_at_1_36_28_AM__jpeg.jpg,LFC\verified_WhatsApp_Image_2026-04-17_at_1_36_28_AM__jpeg.jpg,0,identical_perceptual_hash,moved_to_quarantine
14,LFC,LFC\WhatsApp_Image_2026-04-14_at_6_48_31_PM_1__jpeg.jpg,LFC\verified_WhatsApp_Image_2026-04-14_at_6_48_31_PM_1__jpeg.jpg,0,identical_perceptual_hash,moved_to_quarantine
15,LFC,LFC\WhatsApp_Image_2026-04-01_at_9_27_46_AM__jpeg.jpg,LFC\verified_WhatsApp_Image_2026-04-01_at_9_27_46_AM__jpeg.jpg,0,identical_perceptual_hash,moved_to_quarantine
16,LFC,LFC\WhatsApp_Image_2026-04-19_at_5_07_59_PM_1__jpeg.jpg,LFC\verified_WhatsApp_Image_2026-04-19_at_5_07_59_PM_1__jpeg.jpg,0,identical_perceptual_hash,moved_to_quarantine
17,LFC,LFC\WhatsApp_Image_2026-04-26_at_7_54_21_PM__jpeg.jpg,LFC\verified_WhatsApp_Image_2026-04-26_at_7_54_21_PM__jpeg.jpg,0,identical_perceptual_hash,moved_to_quarantine
18,LFC,LFC\image103__jpeg.jpg,LFC\verified_image103__jpeg.jpg,0,identical_perceptual_hash,moved_to_quarantine
19,LFC,LFC\WhatsApp_Image_2026-04-20_at_7_24_45_AM__jpeg.jpg,LFC\verified_WhatsApp_Image_2026-04-20_at_7_24_45_AM__jpeg.jpg,0,identical_perceptual_hash,moved_to_quarantine
20,LFC,LFC\WhatsApp_Image_2026-04-29_at_7_41_43_AM__jpeg.jpg,LFC\verified_WhatsApp_Image_2026-04-29_at_7_41_43_AM__jpeg.jpg,0,identical_perceptual_hash,moved_to_quarantine
