class,precision,recall,f1_score,support
BIN LIFTING,1.0,1.0,1.0,25.0
BIN WASHING,0.9230769230769231,0.9795918367346939,0.9504950495049505,49.0
GATE MEETING,0.9622641509433962,0.9444444444444444,0.9532710280373832,54.0
LFC,0.875,0.7,0.7777777777777778,20.0
MANUAL BEACH CLEANING,0.9658536585365853,0.9949748743718593,0.9801980198019802,199.0
MECHANICAL SWEEPING,1.0,0.9259259259259259,0.9615384615384616,27.0
MECHANIZED BEACH CLEANING,0.967741935483871,0.967741935483871,0.967741935483871,31.0
PRIMARY COLLECTION,0.8421052631578947,1.0,0.9142857142857143,16.0
ROAD SWEEPING,0.9230769230769231,0.9230769230769231,0.9230769230769231,78.0
SECONDARY VEHICLES,0.9487179487179487,0.8409090909090909,0.891566265060241,44.0
